iterations,iterations_proportions,trainLosses,validLosses
1434,0.19988848620016728,1.2582858795900225,0.8025412674581152
2868,0.39977697240033455,0.9993695566532004,0.7052589369182214
4302,0.5996654586005018,0.8916232638071437,0.6641938028263167
5736,0.7995539448006691,0.8311251702678171,0.6372978905793643
7170,0.9994424310008364,0.7902061894265844,0.6160670107072966
8608,1.1998884862001673,0.637271310162511,0.6124681978448094
10042,1.3997769724003346,0.610018878146445,0.5968241628235178
11476,1.599665458600502,0.5941657705370186,0.5906766843123447
12910,1.799553944800669,0.5833457941020549,0.5787693955763819
14344,1.9994424310008363,0.5739161143534021,0.5717313762212782
15782,2.1998884862001673,0.5516540861404092,0.5726285607850992
17216,2.3997769724003346,0.526045543743061,0.5740100170552342
18650,2.599665458600502,0.5111621580585,0.5796617083978757
20084,2.799553944800669,0.5004154389056493,0.5711462014150723
21518,2.9994424310008365,0.49068569377210186,0.5768087901934625
22956,3.1998884862001673,0.4729293114616116,0.5712496785046998
24390,3.3997769724003346,0.440165148505024,0.6010617653227163
25824,3.599665458600502,0.4220093049763636,0.6174960568902808
27258,3.799553944800669,0.4083215793701229,0.6135679281714681
