iterations,iterations_proportions,trainLosses,validLosses
734,0.1998366457936292,1.3010676151562777,0.7622096116398006
1468,0.3996732915872584,1.010630589800732,0.6900710083398798
2202,0.5995099373808875,0.8960456497879271,0.6504824169933666
2936,0.7993465831745168,0.8330272045240252,0.6362791242413304
3670,0.9991832289681459,0.7911894055332085,0.6132169956111081
4407,1.1998366457936291,0.6023702937754364,0.6004260204360697
5141,1.3996732915872583,0.5937786104122039,0.5945985978570264
5875,1.5995099373808876,0.5849672441830103,0.5928460707374871
6609,1.7993465831745168,0.5778872938953563,0.5898974042006014
7343,1.999183228968146,0.5716007749537356,0.579891487083311
8080,2.199836645793629,0.5304085523377322,0.5795523462869598
8814,2.3996732915872583,0.5227404100774744,0.5830427847818801
9548,2.5995099373808874,0.5147786380674058,0.5899329349689525
10282,2.7993465831745166,0.5075386409883765,0.5925058198854359
11016,2.9991832289681457,0.500939644000186,0.5910995715740187
11753,3.199836645793629,0.4576251914049689,0.6104927125695988
